DEPCOM,UN APPARTEMENT,UNE MAISON
77094.0,4677.8144672423405,1770.352251757526
77095.0,4563.644965445355,939.5109221258901
77096.0,4410.636161211257,1393.0000575253812
77097.0,4165.380764022337,1164.3618103205786
77098.0,5581.8227002912545,1511.7356585792752
77099.0,4245.726420439804,1275.5579202398728
77100.0,4207.891705634988,1383.834857046267
77101.0,4388.98193127383,1259.101473358503
77102.0,6265.35035027132,1476.1599625605668
77103.0,4459.639737704335,933.5051773472493
77104.0,4288.765761528073,1565.4760564782086
77106.0,4319.600592081721,1002.870407178539
77107.0,4343.924735307406,1163.465694419872
77108.0,4311.774022255282,1241.606162495655
77109.0,4009.0145434309457,1271.2368414379564
77110.0,4662.929760576472,2054.178703963929
77111.0,4228.873705953914,1273.8549063740602
77112.0,3728.869708961073,835.2684350332418
77113.0,4256.697068201048,1537.0935068799906
77114.0,4087.7298926909803,1374.5169868720627
77115.0,4607.528008429575,1093.7455447629347
77116.0,4422.689478182771,1269.948055712338
77117.0,4343.415282912067,1119.3434761930585
77118.0,4428.187411893322,1180.603886693949
77119.0,4923.850393554025,686.5846633991035
77120.0,4254.125299280525,1174.2462608842263
77121.0,4202.2885662222925,1311.4796627521278
77122.0,4273.075428767581,1175.1296349027239
77123.0,4081.452092156761,1198.8929044695603
77124.0,3970.87433831412,1456.5392804001806
77125.0,4274.042732309302,1305.864007354661
77126.0,4292.09118961446,1231.5340391595767
77127.0,4550.626194629296,1092.122015822281
77128.0,4138.601927144597,1326.0541933771888
77129.0,4173.980490954918,1704.0566757566774
77130.0,3641.1475140044504,831.2450284800792
77131.0,4162.465085437509,1218.3114839615598
77132.0,4377.326350238048,1221.947179236396
77133.0,3717.405319432868,1058.9483516323205
77134.0,4102.809527282993,1221.7446242336646
77135.0,4212.676001801267,1187.694930965734
77136.0,5910.792838769429,564.7058823529412
77137.0,4750.708992483752,799.7937455387864
77138.0,4479.030012441511,1408.8225828929885
77139.0,4176.83453857972,1228.0225999564548
77140.0,3596.7513863111135,1917.664092758378
77141.0,4576.68272269754,1219.104231357942
77142.0,4203.607628777144,1311.853225630207
77143.0,4361.370698591346,1130.928854970362
77144.0,3968.1665742446276,1285.4913611633915
77145.0,3876.274965638968,1406.7489562615212
77146.0,4627.262834588676,1179.1252436384166
77147.0,3914.1131983090268,1662.0628133397067
77148.0,4474.099932207764,1461.4686361868744
77149.0,4274.183947695849,1624.4971048922434
77150.0,5048.335896524653,1249.5445646433673
77151.0,4161.876236605833,1566.3889657096045
77152.0,4236.65852027493,1267.241435371823
77153.0,4359.514110724536,1306.1878713695112
77154.0,4480.276785242483,1346.1142959457852
77155.0,4127.127352509388,1175.905276840284
77156.0,3973.4278068984177,1033.7627109039315
77157.0,4197.508499150745,1254.1387506287122
77158.0,3625.0465117827134,953.473016618256
77159.0,5601.5374495690585,1269.8433313902813
77161.0,4377.106398039891,1240.5606894601804
77162.0,4297.668467610948,970.5195010114179
77163.0,4887.091280690214,757.9480792537297
77164.0,4658.471563948459,1297.1001359942852
77165.0,4596.686419991885,2052.4418035207023
77166.0,4424.03187483805,1240.751777009308
77167.0,4094.00800018228,1488.3471358401216
77168.0,4272.6641965926365,1246.5635561234187
77169.0,4219.884162225251,1119.0350136195148
77170.0,4208.708996938911,1119.3825358965385
77171.0,4227.201424371936,1134.6014379045191
77172.0,4499.15293104558,1146.1361159948037
77173.0,4373.693686955476,1265.8369329143604
77174.0,4736.190366887025,1333.9396640441246
77175.0,4447.67959256947,1344.1406135712575
77176.0,4129.848742722011,1312.4170860330817
77177.0,4437.110393446685,1220.8379869816938
77178.0,4323.4337557534955,1094.4847778167816
77179.0,4194.765748236852,1196.0787545826056
